Año de siembra,Fecha de siembra,Superficie (m2),Altitud (msnm),Distancia entre filas (cm),Distancia en la fila (cm),Mecanización (cm),Fertilización,Riego,Clima,Costo de producción (USD),Producción (kg)
2024,2024-03-14,2000.0,616.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,100.11,5158.496381717552
2024,2024-03-23,2000.0,286.0,100,50.0,50,Presiembra,Presiembra,Tropical,69.27,5641.297146920089
2024,2024-02-16,9000.0,533.0,100,,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,128.89,26073.003477067443
2024,2024-02-10,4000.0,624.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Subtropical,144.0,10909.488834663316
2023,2023-12-07,8000.0,298.0,100,,50,Presiembra,Finalización (75-80 dds),Seco,105.55,23163.206967430946
2023,2023-12-04,10000.0,486.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,92.17,18848.9784701982
2024,2024-02-04,7000.0,374.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Seco,125.23,12667.50487769458
2023,2023-12-10,,285.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,70.21,826.24372096027
2024,2024-03-14,300.0,566.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,136.87,646.469547913194
2024,2024-02-18,5000.0,668.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,42.03,14002.078835194077
2024,2024-03-04,,648.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,79.41,15000.0
2024,2024-03-09,3000.0,535.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,128.91,7443.740862282238
2024,2024-01-23,2000.0,611.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,65.35,5209.450441504703
2024,2024-01-23,2000.0,560.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,30.21,5973.42232367334
2024,2024-03-23,5000.0,636.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,83.23,9874.05496764202
2023,2023-12-20,7000.0,902.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,122.19,14551.31522055175
2024,2024-01-17,6000.0,559.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,32.15,15789.547247331757
2024,2024-02-19,4000.0,538.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,19.6,10275.562878058754
2024,2024-02-28,6000.0,454.0,100,50.0,50,Presiembra,Presiembra,Subtropical,52.69,
2023,2023-12-11,9000.0,581.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,79.43,17572.617128308866
2024,2024-01-27,7000.0,457.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,86.87,20621.357053073036
2024,2024-03-11,2000.0,370.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,33.13,5207.102316164666
2023,2023-12-20,6000.0,428.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,70.63,15667.422497555166
2024,2024-03-05,10000.0,-50.0,100,50.0,50,Presiembra,Presiembra,Tropical,39.58,28275.260481732235
2024,2024-01-23,5000.0,460.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,109.21,11256.095658724365
2024,2024-02-19,2000.0,704.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,89.95,5304.442907842331
2024,2024-02-13,5000.0,266.0,100,,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,144.49,9214.23368419543
2023,2023-12-02,5000.0,593.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,103.69,11632.951803310845
2024,2024-03-11,2000.0,429.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Subtropical,114.97,3646.3417013741146
2024,2024-01-08,4000.0,524.0,100,50.0,50,Presiembra,Semanal (primer mes),Subtropical,61.1,9705.926254227836
2024,2024-03-02,5000.0,429.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,68.88,
2024,2024-03-16,2000.0,442.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,113.07,3961.184691677105
2024,2024-01-08,8000.0,227.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,97.84,22115.064855078544
2024,2024-03-30,3000.0,,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,44.13,8773.815392238665
2024,2024-03-27,3000.0,435.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,48.15,5459.188627280476
2023,2023-12-07,2000.0,338.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,39.55,4543.161758970018
2024,2024-03-08,300.0,240.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,129.53,746.3948673864776
2023,2023-12-15,10000.0,562.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,91.1,21237.526200919874
2024,2024-03-24,6000.0,487.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,53.37,15903.509756290152
2023,2023-12-11,9000.0,467.0,100,50.0,50,Presiembra,Presiembra,Tropical,145.32,26367.435938314204
2023,2023-12-21,8000.0,567.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,111.31,
2023,2023-12-09,10000.0,384.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Seco,132.77,21972.820583867553
2023,2023-12-11,10000.0,638.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,48.69,8269.80780719031
2023,2023-12-22,8000.0,535.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Seco,89.96,17977.751516627217
2024,2024-02-01,1000.0,514.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Subtropical,102.32,2136.1047838895915
2024,2024-01-31,6000.0,638.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,144.43,17387.434930110245
2024,2024-01-04,6000.0,275.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,109.41,13555.019268459391
2024,2024-01-24,1000.0,438.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,86.63,2437.2799652689755
2023,2023-12-26,300.0,868.0,100,50.0,50,Presiembra,Presiembra,Tropical,136.98,719.8659447369022
2024,2024-03-13,300.0,551.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,87.19,676.5262194785506
2023,2023-12-21,2000.0,358.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,92.76,5382.216694452889
2024,2024-03-09,8000.0,478.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,51.28,22709.040983665847
2024,2024-03-31,4000.0,318.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,105.0,
2023,2023-12-17,,746.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,91.04,829.4883175011141
2024,2024-01-03,3000.0,549.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,143.88,5970.946899604214
2024,2024-02-13,1000.0,664.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,34.42,2678.2276943380584
2024,2024-03-01,1000.0,619.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,36.29,2054.8751939067492
2023,2023-12-22,1000.0,589.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,117.87,2531.67940767218
2024,2024-02-15,8000.0,469.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Subtropical,108.45,16415.102076873376
2023,2023-12-13,8000.0,,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,29.32,21334.726360992674
2024,2024-02-20,8000.0,577.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Seco,87.83,14588.810333598602
2023,2023-12-05,6000.0,355.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,96.71,
2024,2024-01-22,2000.0,269.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,63.8,4687.560611188095
2023,2023-12-25,7000.0,429.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,148.36,15013.912500985994
2024,2024-03-20,7000.0,569.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,62.62,14750.717974868554
2023,2023-12-18,9000.0,724.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,21.86,18248.29276836933
2023,2023-12-16,3000.0,315.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,25.52,6340.5331762366095
2024,2024-01-26,2000.0,761.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Subtropical,45.94,4390.561610740708
2024,2024-01-26,5000.0,638.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,29.4,11416.006446793379
2024,2024-03-02,5000.0,694.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,78.29,13434.069710473192
2023,2023-12-05,4000.0,,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,133.32,9298.507177997943
2023,2023-12-03,3000.0,534.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,113.65,8727.443212610167
2024,2024-03-28,1000.0,687.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,110.07,
2024,2024-02-06,2000.0,381.0,100,,50,Presiembra,Finalización (75-80 dds),Tropical,51.21,3854.367249044233
2024,2024-02-09,5000.0,603.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,77.4,10287.21887096614
2024,2024-03-13,6000.0,500.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,100.15,15504.148763540794
2024,2024-03-09,,399.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,93.14,13252.2662511347
2024,2024-02-09,10000.0,615.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,42.78,19480.180566500436
2024,2024-02-07,5000.0,667.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,53.78,13753.711849127107
2024,2024-02-24,2000.0,393.0,100,50.0,50,Presiembra,Presiembra,,82.8,4057.0521930338978
2024,2024-03-27,10000.0,566.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,48.18,19482.0131460381
2024,2024-02-10,3000.0,518.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,65.71,6927.179886512315
2024,2024-03-30,300.0,762.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,103.57,631.9033474993871
2024,2024-03-06,1000.0,3500.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,42.77,2253.3428752775985
2024,2024-01-23,10000.0,472.0,100,50.0,50,Presiembra,Presiembra,Subtropical,119.21,23305.892344068896
2024,2024-02-01,5000.0,659.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Seco,48.98,10094.749690075047
2023,2023-12-05,5000.0,674.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,108.03,14685.50664095135
2024,2024-01-11,6000.0,836.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Seco,87.3,12181.756645967887
2024,2024-01-15,,404.0,100,50.0,50,Presiembra,Presiembra,Tropical,120.47,8239.296243656563
2024,2024-02-09,8000.0,475.0,100,,50,Presiembra,Finalización (75-80 dds),Subtropical,101.75,20420.818635839936
2023,2023-12-05,2000.0,744.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,127.46,5645.419113596127
2024,2024-01-02,1000.0,,100,50.0,50,Presiembra,Presiembra,Tropical,95.37,2402.2582771028096
2023,2023-12-04,3000.0,590.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,40.51,6339.244056195086
2024,2024-02-11,9000.0,455.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,149.91,18227.741913228518
2024,2024-01-20,2000.0,479.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,38.37,5782.685646534552
2023,2023-12-29,6000.0,649.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Subtropical,21.39,16575.665896518796
2024,2024-02-01,10000.0,,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,75.29,23654.089238395434
2024,2024-01-26,5000.0,322.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,52.11,11037.76315298812
2024,2024-03-07,1000.0,501.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,145.26,2007.107424271413
2024,2024-02-26,10000.0,696.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Seco,69.23,27113.04513164136
2024,2024-01-16,2000.0,522.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Seco,65.49,5613.473326174498
2024,2024-03-06,4000.0,664.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,48.91,11865.780657275183
2023,2023-12-20,9000.0,786.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,82.44,17996.366330248682
2023,2023-12-18,7000.0,771.0,100,50.0,50,Presiembra,Presiembra,Tropical,131.23,14546.523974838501
2024,2024-01-11,2000.0,276.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,49.71,3850.1481710751887
2024,2024-03-07,,306.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,140.79,21971.66835868413
2024,2024-03-04,3000.0,518.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Seco,93.03,7507.976885866876
2023,2023-12-04,2000.0,778.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,46.42,4313.292336686547
2023,2023-12-23,2000.0,419.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,146.62,4623.791318735828
2023,2023-12-04,2000.0,572.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),,19.6,4034.1779705674853
2024,2024-01-13,4000.0,287.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,113.2,9642.488050712283
2024,2024-03-21,,263.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Seco,98.89,20394.49609797052
2024,2024-01-06,,631.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,23.74,
2024,2024-01-13,3000.0,529.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,35.06,8832.490384215336
2024,2024-01-31,4000.0,280.0,100,,50,Crecimiento inicial (20-30 días),Semanal (primer mes),,81.08,11944.990291882954
2023,2023-12-13,4000.0,697.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,95.56,9804.012450284334
2024,2024-03-20,5000.0,748.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,16.7,13517.353211958693
2024,2024-01-26,7000.0,331.0,100,50.0,50,Presiembra,Presiembra,Tropical,55.66,18186.061554695792
2024,2024-03-21,300.0,,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,129.86,739.5163534875567
2023,2023-12-13,,516.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Subtropical,87.02,9012.411740034484
2024,2024-03-12,10000.0,584.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,145.61,24893.019227929482
2024,2024-01-08,1000.0,473.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,59.98,2563.8279875877147
2023,2023-12-06,2000.0,500.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,96.2,5239.736244807475
2024,2024-02-23,3000.0,566.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,97.87,8483.4522250283
2024,2024-02-24,8000.0,284.0,100,50.0,50,Presiembra,Presiembra,Tropical,54.68,21578.45061364049
2024,2024-01-21,9000.0,456.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,94.51,19501.716059167313
2024,2024-01-10,7000.0,379.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,19.58,14280.361242100778
2024,2024-02-02,9000.0,458.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,19.03,24176.379589570275
2023,2023-12-27,3000.0,438.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,105.72,6945.195346002444
2024,2024-01-05,3000.0,,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,90.71,6237.288678318512
2023,2023-12-12,7000.0,481.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,29.01,
2023,2023-12-17,2000.0,559.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,119.27,4664.513198228064
2024,2024-03-03,10000.0,660.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,87.4,25708.235380637765
2024,2024-02-17,10000.0,580.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,97.45,27893.224527434137
2023,2023-12-16,4000.0,459.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,29.74,
2024,2024-02-28,6000.0,516.0,100,50.0,50,Presiembra,Presiembra,Subtropical,104.66,16405.364205189355
2024,2024-01-06,4000.0,506.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Seco,42.04,7654.171431530836
2024,2024-01-03,1000.0,598.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,115.77,1823.9570558607986
2024,2024-02-20,9000.0,452.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,33.03,17957.31598042158
2024,2024-02-17,8000.0,607.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,137.71,18396.84833385163
2024,2024-03-06,5000.0,292.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,46.79,12715.439741050552
2024,2024-01-14,8000.0,611.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,120.48,22251.44505379156
2024,2024-02-18,10000.0,386.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,44.34,20914.17657533728
2024,2024-01-20,10000.0,709.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,27.19,23734.392904829445
2024,2024-03-20,9000.0,1029.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,87.72,22027.588901037772
2024,2024-01-24,300.0,274.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,47.08,748.0026458011502
2023,2023-12-16,4000.0,553.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,130.41,8072.465047308449
2024,2024-03-03,9000.0,197.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,26.02,17141.663456099977
2023,2023-12-29,4000.0,359.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),,39.93,8165.538504084554
2023,2023-12-21,300.0,592.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,56.68,843.4522737982534
2023,2023-12-15,6000.0,415.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,55.79,15250.608362226974
2024,2024-01-21,8000.0,690.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,92.78,19327.86920615323
2024,2024-03-26,5000.0,545.0,100,50.0,50,Presiembra,Presiembra,Tropical,133.1,9892.310489149091
2024,2024-03-27,6000.0,334.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,141.43,13784.62246551609
2024,2024-03-07,10000.0,427.0,100,,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,52.88,28164.257486253613
2023,2023-12-30,300.0,,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,57.93,542.501019053685
2024,2024-03-18,1000.0,397.0,100,50.0,50,Presiembra,Presiembra,Tropical,20.25,2903.3567470596968
2024,2024-02-29,,606.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,102.26,15226.08955153912
2023,2023-12-06,10000.0,576.0,100,50.0,50,Presiembra,Presiembra,Tropical,87.54,20729.193618985402
2024,2024-02-13,6000.0,461.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,88.3,11397.084663626405
2024,2024-02-12,1000.0,314.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,114.56,1866.4097027789355
2023,2023-12-23,7000.0,224.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Seco,124.8,13456.195744168432
2024,2024-03-14,4000.0,303.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,81.02,9920.541384846221
2024,2024-01-17,7000.0,450.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,95.45,20925.115967140693
2023,2023-12-22,1000.0,326.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Subtropical,20.85,
2023,2023-12-10,6000.0,543.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,62.03,12973.264564571531
2023,2023-12-22,9000.0,454.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,131.07,
2024,2024-01-18,8000.0,702.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,67.2,23085.180113086848
2023,2023-12-20,1000.0,558.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,,97.16,2865.918482033619
2024,2024-02-27,2000.0,527.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,46.68,4088.667929980542
2024,2024-02-15,8000.0,364.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,79.27,22490.33385944474
2024,2024-01-03,9000.0,341.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,75.73,25941.038273946713
2024,2024-02-02,4000.0,507.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,87.16,8924.040799460743
2024,2024-03-17,5000.0,,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,128.93,11625.844601181321
2023,2023-12-19,6000.0,766.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Subtropical,86.23,17535.177083091283
2024,2024-01-06,,382.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,93.2,14383.427176205298
2024,2024-02-29,6000.0,710.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,64.97,15095.679009368972
2024,2024-02-29,3000.0,516.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),,136.56,
2024,2024-03-27,2000.0,536.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,23.6,5689.004671672805
2024,2024-02-25,3000.0,775.0,100,50.0,50,Presiembra,Presiembra,Tropical,100.11,7748.0360134267585
2024,2024-03-28,2000.0,473.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,52.52,5626.659025805522
2024,2024-01-20,9000.0,520.0,100,50.0,50,Presiembra,Presiembra,Tropical,39.08,19122.6807585805
2024,2024-01-03,3000.0,361.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,42.19,6506.829670385819
2024,2024-02-28,9000.0,633.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,24.98,17348.343080816685
2024,2024-03-23,7000.0,615.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,48.28,14951.247900350942
2023,2023-12-15,,394.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),,63.89,19553.73998970495
2024,2024-03-18,2000.0,,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,146.96,4059.3917713795367
2023,2023-12-17,6000.0,575.0,100,50.0,50,Presiembra,Semanal (primer mes),Subtropical,111.87,17619.953064343194
2024,2024-03-19,1000.0,512.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,40.08,2219.8304020923515
2024,2024-01-23,8000.0,297.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,33.77,15599.978443218122
2024,2024-03-10,2000.0,598.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,45.54,5916.194514846451
2024,2024-02-05,3000.0,261.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,79.34,6448.25148375691
2023,2023-12-21,4000.0,561.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,96.33,10244.103420958665
2023,2023-12-16,5000.0,613.0,100,50.0,50,Presiembra,Presiembra,Tropical,39.1,9974.419291539987
2023,2023-12-26,8000.0,640.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,63.81,19939.539807671783
2024,2024-01-15,2000.0,524.0,100,50.0,50,Presiembra,Presiembra,Tropical,146.8,4378.779179947126
2024,2024-03-26,6000.0,596.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,17.59,12594.907396561759
2024,2024-02-25,2000.0,670.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,39.91,5306.3783946343165
2024,2024-02-03,2000.0,601.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Subtropical,30.98,4979.244140833444
2024,2024-02-17,3000.0,622.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,60.34,6432.942756095587
2023,2023-12-29,8000.0,616.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,85.63,20911.495054541203
2024,2024-03-29,300.0,464.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,89.01,598.417289683455
2024,2024-01-17,9000.0,617.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,37.62,16290.724909277982
2024,2024-03-14,1000.0,498.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,94.68,2701.182118015599
2024,2024-03-06,8000.0,599.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,113.17,22244.038408955123
2024,2024-03-30,4000.0,567.0,100,50.0,50,Presiembra,Semanal (primer mes),Subtropical,94.15,9154.412683952027
2024,2024-01-25,4000.0,789.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,135.59,7703.680768333353
2024,2024-03-28,300.0,535.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,73.72,592.4881019677586
2024,2024-02-15,5000.0,417.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,147.85,13191.047978488987
2024,2024-02-20,,288.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Subtropical,47.42,10884.784932890485
2024,2024-01-01,10000.0,962.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,23.23,28727.854793011997
2023,2023-12-03,5000.0,477.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,83.87,11036.384999490096
2024,2024-03-20,5000.0,400.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Seco,85.62,12299.44560193045
2023,2023-12-06,1000.0,702.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,62.98,2950.337931570107
2023,2023-12-31,9000.0,588.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,128.44,24507.19161220556
2024,2024-03-19,9000.0,684.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,78.22,20893.05098171574
